id, timestamp, signalstrength, battery, temperature, consumptioncounter, buttoncounter, timezone
1182d44a4b6b681c5180531c15f05c72fa69cbac, 0, -74, 3012, 21, 0, 0, GMT-8
1182d44a4b6b681c5180531c15f05c72fa69cbac, 0, -77, 3012, 22, 1, 0, GMT-8
1182d44a4b6b681c5180531c15f05c72fa69cbac, 1, -80, 2988, 23, 2, 0, GMT-8
1182d44a4b6b681c5180531c15f05c72fa69cbac, 2, -88, 2988, 22, 3, 0, GMT-8
1182d44a4b6b681c5180531c15f05c72fa69cbac, 3, -82, 2988, 22, 4, 0, GMT-8
1182d44a4b6b681c5180531c15f05c72fa69cbac, 4, -84, 2994, 22, 5, 0, GMT-8
1182d44a4b6b681c5180531c15f05c72fa69cbac, 5, -90, 2994, 20, 6, 0, GMT-8
1182d44a4b6b681c5180531c15f05c72fa69cbac, 6, -81, 2994, 18, 7, 0, GMT-8
1182d44a4b6b681c5180531c15f05c72fa69cbac, 7, -82, 2994, 22, 8, 0, GMT-8
1182d44a4b6b681c5180531c15f05c72fa69cbac, 8, -80, 2988, 21, 9, 0, GMT-8
1182d44a4b6b681c5180531c15f05c72fa69cbac, 9, -77, 2994, 22, 10, 0, GMT-8
1182d44a4b6b681c5180531c15f05c72fa69cbac, 10, -75, 2988, 22, 11, 0, GMT-8
03c5d6d1bcc2e17d0e85eac69730781ea9c1e12d, 0, -61, 2964, 18, 0, 0, GMT+1
03c5d6d1bcc2e17d0e85eac69730781ea9c1e12d, 0, -67, 2988, 18, 1, 0, GMT+1
03c5d6d1bcc2e17d0e85eac69730781ea9c1e12d, 2, -57, 2970, 18, 2, 0, GMT+1
03c5d6d1bcc2e17d0e85eac69730781ea9c1e12d, 2, -57, 2970, 21, 3, 0, GMT+1
03c5d6d1bcc2e17d0e85eac69730781ea9c1e12d, 4, -61, 2982, 18, 4, 0, GMT+1
03c5d6d1bcc2e17d0e85eac69730781ea9c1e12d, 5, -48, 2976, 16, 5, 0, GMT+1
03c5d6d1bcc2e17d0e85eac69730781ea9c1e12d, 6, -49, 2976, 17, 6, 0, GMT+1
03c5d6d1bcc2e17d0e85eac69730781ea9c1e12d, 7, -50, 2976, 17, 7, 0, GMT+1
03c5d6d1bcc2e17d0e85eac69730781ea9c1e12d, 8, -56, 2988, 18, 8, 0, GMT+1
03c5d6d1bcc2e17d0e85eac69730781ea9c1e12d, 11, -42, 2970, 18, 9, 0, GMT+1
03c5d6d1bcc2e17d0e85eac69730781ea9c1e12d, 12, -46, 2976, 18, 10, 0, GMT+1
03c5d6d1bcc2e17d0e85eac69730781ea9c1e12d, 13, -66, 2964, 18, 11, 0, GMT+1
03c5d6d1bcc2e17d0e85eac69730781ea9c1e12d, 13, -39, 2970, 20, 12, 0, GMT+1
03c5d6d1bcc2e17d0e85eac69730781ea9c1e12d, 14, -46, 2994, 18, 13, 0, GMT+1
03c5d6d1bcc2e17d0e85eac69730781ea9c1e12d, 14, -49, 2970, 18, 14, 0, GMT+1
03c5d6d1bcc2e17d0e85eac69730781ea9c1e12d, 15, -40, 2982, 18, 15, 0, GMT+1
a577f9a64793f99d45ba95d8fadbf37a58014b08, 0, -54, 2994, 21, 0, 0, GMT-8
a577f9a64793f99d45ba95d8fadbf37a58014b08, 0, -67, 2982, 18, 1, 0, GMT-8
a577f9a64793f99d45ba95d8fadbf37a58014b08, 2, -70, 2964, 15, 2, 0, GMT-8
a577f9a64793f99d45ba95d8fadbf37a58014b08, 4, -61, 2958, 16, 3, 0, GMT-8
a577f9a64793f99d45ba95d8fadbf37a58014b08, 5, -47, 2952, 18, 4, 0, GMT-8
a577f9a64793f99d45ba95d8fadbf37a58014b08, 6, -59, 2958, 17, 5, 0, GMT-8
a577f9a64793f99d45ba95d8fadbf37a58014b08, 7, -49, 2952, 16, 6, 0, GMT-8
